"Station","Lat","Long"
1,32.68336973,103.55317487
2,31.06906806,103.1068743
3,31.53186738,102.87518991
4,31.6311649,103.25921786
5,30.91163249,103.26450499
7,32.47936695,103.08549146
9,31.62529639,103.60939302
10,32.14205499,102.8196233
11,31.93408804,103.31033884
