system:index,Subbasin,aet,date,pdsi,pet,pr,ro,soil,swe,tmmn,tmmx,.geo
195801_000071ae51516e393968,11,4.14392917562651,1.9580101E7,21.44863544605351,9.223755651730304,8.747873229850914,0.017221477169259366,1197.5370313121196,54.633912819339166,-138.9098305456744,-11.399021290922324,
195801_0000266fb817570ef2ea,14,69.82956226378766,1.9580101E7,23.413833174667577,109.46225501145837,12.11323315348158,0.2842098990076657,1069.53955502118,13.14937100058323,-54.446515517426164,38.14206306376854,
195801_0000444f8f5d5affa846,13,129.60128833362322,1.9580101E7,12.701991444851853,192.27962172741348,10.919107467567938,0.5459180354678779,1021.3008680857793,8.745846166299168,-38.95454374139387,54.072384932324006,
195801_0000d4da10d8dcbac1b0,12,36.03374313026929,1.9580101E7,17.445564492147255,67.81127310407909,9.121104318324473,0.06275736120026663,1153.862427798655,23.75656209013576,-90.97740237217894,23.96840732332859,
195801_0000daa2e88e222a53c3,9,16.744452975116083,1.9580101E7,12.947200262715363,41.75057105564227,6.305934452747335,0.0,1333.8964418013427,19.663262518757143,-100.94162909741091,26.512120012351417,
195801_00008c159663543e8645,8,21.356000344481256,1.9580101E7,20.196070356845716,48.095319080764106,7.646909119783912,0.0,1136.8019644435722,32.449014842463065,-116.5761693457264,18.700839888246996,
195801_0000de5013cc29300392,6,1.452469697291294,1.9580101E7,22.35519295034481,9.20077377580497,6.884793220498406,0.0,1045.2285659722575,40.27362587736333,-144.8696858853715,11.990566025503199,
195801_0000168c334242d20765,5,0.8354419617586123,1.9580101E7,14.018909350729155,2.8081991575949985,6.052316739987957,0.0,1240.844767243512,42.05908162727504,-151.68137589380203,7.454301280291912,
195801_0000cb0aabacd678f3cf,2,0.0,1.9580101E7,17.834468208953865,0.0,6.274454496805722,0.0,1035.1695429972735,48.97906723996606,-180.5452736879648,-1.9251601535562897,
195801_0000181e9ee1021c33fd,1,0.0,1.9580101E7,14.736550569735934,0.0,6.329742900565984,0.0,1164.4148476444645,66.02578639277235,-191.429282141799,-15.367016299105442,
195801_0000cafaf5ad395dbed2,3,0.3461390179502076,1.9580101E7,22.914821431309797,2.3706492247840374,8.586126754748907,0.0,942.5833692561529,62.2697999653483,-184.30773877595388,-5.04576357261224,
195801_0000f539b753c50b4245,4,0.011274295049583227,1.9580101E7,46.567282160154946,0.23766106146972296,10.761511747382913,0.0,973.993633000965,71.65249772727994,-191.0997352581115,-17.24318572415459,
195801_000093627540d08c2e25,7,1.9015783329524398,1.9580101E7,34.946805618302,4.928843069575348,10.617789307290899,0.0,1070.3959551560224,70.35992020410926,-172.924500084122,-19.348162273370843,
195801_0000976156db9c725e35,10,0.10612277457592553,1.9580101E7,44.737570115688044,0.8493795369347282,9.740421868553971,0.0,1112.7592386187646,71.48520436527183,-181.66764839753708,-28.642790992382903,
195802_000071ae51516e393968,11,4.99772862738883,1.9580201E7,0.8387487419040337,10.283478740428526,7.767729655571862,0.05602268136290881,1196.8485552474629,61.87860113807657,-137.46806653579378,-16.908912384978567,
195802_0000266fb817570ef2ea,14,75.08940865737314,1.9580201E7,11.559086665256395,118.36465285281534,10.342647289490564,0.43011043933365073,1036.008792380118,19.081948913441344,-49.839333568131984,40.46772589405969,
195802_0000444f8f5d5affa846,13,141.39553694160614,1.9580201E7,-6.76837117887841,222.110854041671,8.803619336240388,0.44907763261750794,938.3725180997211,11.266284798420791,-31.449977459515452,67.02363753183832,
