"","x"
"1962-01-01",27.0922784810127
"1962-02-01",21.9554430379747
"1962-03-01",22.943164556962
"1962-04-01",29.4710126582278
"1962-05-01",65.6715189873418
"1962-06-01",138.226329113924
"1962-07-01",165.588607594937
"1962-08-01",122.299746835443
"1962-09-01",86.3658227848101
"1962-10-01",61.2592405063291
"1962-11-01",42.1405063291139
"1962-12-01",32.3384810126582
"1963-01-01",25.1886075949367
"1963-02-01",20.786582278481
"1963-03-01",22.4578481012658
"1963-04-01",27.1845569620253
"1963-05-01",82.4183544303798
"1963-06-01",140.728101265823
"1963-07-01",172.936708860759
"1963-08-01",110.66582278481
"1963-09-01",99.6539240506329
"1963-10-01",94.4043037974684
"1963-11-01",46.8501265822785
"1963-12-01",32.0889873417722
"1964-01-01",25.0929113924051
"1964-02-01",20.3115189873418
"1964-03-01",20.9369620253165
"1964-04-01",26.0532911392405
"1964-05-01",56.9426582278481
"1964-06-01",101.085949367089
"1964-07-01",119.319493670886
"1964-08-01",97.1794936708861
"1964-09-01",151.575949367089
"1964-10-01",101.533670886076
"1964-11-01",48.053164556962
"1964-12-01",30.5270886075949
"1965-01-01",22.3894936708861
"1965-02-01",17.7755696202532
"1965-03-01",18.6915189873418
"1965-04-01",27.1640506329114
"1965-05-01",64.9572151898734
"1965-06-01",129.781139240506
"1965-07-01",193.955696202532
"1965-08-01",105.036835443038
"1965-09-01",104.124303797468
"1965-10-01",80.7573417721519
"1965-11-01",40.1308860759494
"1965-12-01",30.1101265822785
"1966-01-01",23.9513924050633
"1966-02-01",18.8384810126582
"1966-03-01",19.8569620253165
"1966-04-01",24.7955696202532
"1966-05-01",65.8458227848101
"1966-06-01",98.7379746835443
"1966-07-01",119.586075949367
"1966-08-01",95.3988607594937
"1966-09-01",103.382658227848
"1966-10-01",70.8356962025316
"1966-11-01",40.5956962025316
"1966-12-01",30.4553164556962
"1967-01-01",22.7893670886076
"1967-02-01",18.1891139240506
"1967-03-01",19.429746835443
"1967-04-01",22.5877215189873
"1967-05-01",96.2943037974684
"1967-06-01",137.365063291139
"1967-07-01",157.379240506329
"1967-08-01",77.0559493670886
"1967-09-01",64.3112658227848
"1967-10-01",77.5993670886076
"1967-11-01",40.9511392405063
"1967-12-01",29.3206329113924
"1968-01-01",23.4182278481013
"1968-02-01",19.433164556962
"1968-03-01",21.1898734177215
"1968-04-01",27.8578481012658
"1968-05-01",84.8483544303797
"1968-06-01",116.055569620253
"1968-07-01",149.935443037975
"1968-08-01",128.523417721519
"1968-09-01",161.487341772152
"1968-10-01",87.3945569620253
"1968-11-01",44.0954430379747
"1968-12-01",33.3364556962025
"1969-01-01",27.8441772151899
"1969-02-01",22.7005063291139
"1969-03-01",23.4729113924051
"1969-04-01",24.7340506329114
"1969-05-01",67.0488607594937
"1969-06-01",130.51253164557
"1969-07-01",140.33164556962
"1969-08-01",105.457215189873
"1969-09-01",114.866202531646
"1969-10-01",91.4616455696202
"1969-11-01",48.2001265822785
"1969-12-01",35.5306329113924
"1970-01-01",24.9835443037975
"1970-02-01",19.973164556962
"1970-03-01",21.9383544303797
"1970-04-01",34.02
"1970-05-01",106.957594936709
"1970-06-01",120.884810126582
"1970-07-01",132.768227848101
"1970-08-01",77.8215189873418
"1970-09-01",59.1710126582278
"1970-10-01",66.5293670886076
"1970-11-01",37.6017721518987
"1970-12-01",27.4579746835443
"1971-01-01",21.7845569620253
"1971-02-01",17.4816455696203
"1971-03-01",17.830253164557
"1971-04-01",27.2426582278481
"1971-05-01",70.1829113924051
"1971-06-01",173.381012658228
"1971-07-01",123.612151898734
"1971-08-01",77.9479746835443
"1971-09-01",102.203544303797
"1971-10-01",108.116202531646
"1971-11-01",49.676582278481
"1971-12-01",32.4854430379747
"1972-01-01",24.9732911392405
"1972-02-01",20.1713924050633
"1972-03-01",20.8241772151899
"1972-04-01",25.5303797468354
"1972-05-01",68.050253164557
"1972-06-01",139.473797468354
"1972-07-01",134.107974683544
"1972-08-01",71.0305063291139
"1972-09-01",67.9306329113924
"1972-10-01",61.2250632911392
"1972-11-01",36.1150632911392
"1972-12-01",26.5864556962025
"1973-01-01",21.8084810126582
"1973-02-01",17.2492405063291
"1973-03-01",17.9293670886076
"1973-04-01",23.0388607594937
"1973-05-01",74.6020253164557
"1973-06-01",138.253670886076
"1973-07-01",109.995949367089
"1973-08-01",66.0953164556962
"1973-09-01",82.5858227848101
"1973-10-01",74.0688607594937
"1973-11-01",39.3721518987342
"1973-12-01",28.4217721518987
"1974-01-01",22.5945569620253
"1974-02-01",18.096835443038
"1974-03-01",20.1337974683544
"1974-04-01",26.1763291139241
"1974-05-01",90.9011392405063
"1974-06-01",124.329873417722
"1974-07-01",134.685569620253
"1974-08-01",113.847721518987
"1974-09-01",133.318481012658
"1974-10-01",91.1711392405063
"1974-11-01",49.3518987341772
"1974-12-01",34.2489873417721
"1975-01-01",25.2467088607595
"1975-02-01",19.2759493670886
"1975-03-01",21.0394936708861
"1975-04-01",36.3064556962025
"1975-05-01",89.0624050632911
"1975-06-01",153.660759493671
"1975-07-01",129.603417721519
"1975-08-01",97.5793670886076
"1975-09-01",86.9912658227848
"1975-10-01",104.660886075949
"1975-11-01",49.6321518987342
"1975-12-01",32.4581012658228
"1976-01-01",23.4660759493671
"1976-02-01",19.0264556962025
"1976-03-01",20.7011392405063
"1976-04-01",32.4307594936709
"1976-05-01",92.8321518987342
"1976-06-01",147.556708860759
"1976-07-01",157.751772151899
"1976-08-01",96.1678481012658
"1976-09-01",115.153291139241
"1976-10-01",84.7389873417722
