"Year","Month","Q"
1988,1,12.5715853811015
1988,2,10.4693015043154
1988,3,14.3995013563952
1988,4,23.1768674681741
1988,5,62.2983607906216
1988,6,102.526952662951
1988,7,111.913222977165
1988,8,74.9818593947002
1988,9,96.0287655223412
1988,10,85.8001376158261
1988,11,36.4620500667536
1988,12,22.419949003092
1989,1,15.8543732550983
1989,2,12.3658094549822
1989,3,15.8916776627574
1989,4,27.0757797525398
1989,5,80.5775205435585
1989,6,155.234470581228
1989,7,111.167134823983
1989,8,79.0853442371963
1989,9,98.1948279025444
1989,10,70.1322863990231
1989,11,32.3465315443676
1989,12,21.2635123656613
1990,1,15.4813291785078
1990,2,12.4331980623663
1990,3,14.6606322100086
1990,4,27.7616995062708
1990,5,69.386198245842
1990,6,109.02513980356
1990,7,82.8157850031018
1990,8,84.6810053860545
1990,9,120.938482894678
1990,10,55.9566114885823
1990,11,31.5523086716264
1990,12,19.696727243981
1991,1,14.5114145793723
1991,2,11.8267005959094
1991,3,14.250283725759
1991,4,24.1876965789356
1991,5,66.4018456331176
1991,6,85.1984536213253
1991,7,64.1635811735743
1991,8,65.6557574799365
1991,9,61.3717674390902
1991,10,69.386198245842
1991,11,31.8050159493168
1991,12,20.3682065818439
1992,1,14.6233278023495
1992,2,11.7256176848332
1992,3,14.9217630636219
1992,4,31.6606117906365
1992,5,67.5209778628893
1992,6,148.736283440619
1992,7,145.114145793723
1992,8,68.6401100926609
1992,9,74.3681417203093
1992,10,55.9566114885823
1992,11,29.0974379740628
1992,12,18.5402906065503
1993,1,14.250283725759
1993,2,11.3886746479127
1993,3,12.6834986040786
1993,4,26.7508703955093
1993,5,86.1731816924167
1993,6,100.721900679448
1993,7,110.421046670802
1993,8,121.985413045109
1993,9,88.0865367949295
1993,10,64.1635811735743
1993,11,36.4620500667536
1993,12,22.6064710413872
1994,1,16.302026147007
1994,2,11.9614778106776
1994,3,12.907325050033
1994,4,32.4187336237077
1994,5,68.6401100926609
1994,6,124.548586861683
1994,7,77.9662120074246
1994,8,47.0035536504091
1994,9,81.2273392576194
1994,10,64.5366252501649
1994,11,33.0685523377686
1994,12,21.4873388116156
1995,1,15.8170688474393
1995,2,11.7930062922173
1995,3,15.4067203631897
1995,4,33.357360655129
1995,5,132.430647189645
1995,6,109.386150200261
1995,7,77.5931679308341
1995,8,52.2261707226768
1995,9,48.3753931578711
1995,10,54.0913911056295
1995,11,32.7075419410681
1995,12,21.5246432192746
1996,1,15.1082851019172
1996,2,12.5631618051785
1996,3,14.2129793180999
1996,4,21.8411290003821
1996,5,63.7905370969838
1996,6,109.02513980356
1996,7,86.5462257690073
1996,8,61.1792285608499
1996,9,46.931351571069
1996,10,54.8374792588106
1996,11,31.1551972352558
1996,12,18.6895082371865
1997,1,13.9145440568275
1997,2,10.84956578884
1997,3,15.0709806942582
1997,4,25.5234350467275
1997,5,93.6340632242277
1997,6,115.88433734087
1997,7,77.9662120074246
1997,8,45.5113773440469
1997,9,29.927761886474
1997,10,33.7231845237856
1997,11,21.6245227623618
1997,12,14.8098498406448
1998,1,12.0120192662157
1998,2,9.67026515961822
1998,3,13.6534132032141
1998,4,26.9674766335296
1998,5,66.0288015565271
1998,6,67.5089441829993
1998,7,96.9914599135426
1998,8,85.8001376158261
1998,9,58.8446946621865
1998,10,62.2983607906216
1998,11,35.2707157576419
1998,12,20.7039462507754
1999,1,14.7725454329857
1999,2,11.590840470065
1999,3,13.1684559036464
1999,4,29.6750546087836
1999,5,67.1479337862987
1999,6,127.436670035287
1999,7,160.408952933936
1999,8,70.5053304756137
1999,9,45.4873099842669
1999,10,86.9192698455978
1999,11,33.357360655129
1999,12,19.0998567214361
2000,1,11.7508884126023
2000,2,8.72441792026283
2000,3,9.81105921433142
2000,4,29.4584483707633
2000,5,64.1635811735743
2000,6,108.66412940686
2000,7,87.2923139221883
2000,8,60.8061844842594
2000,9,57.7616634720849
2000,10,48.1226858801808
2000,11,27.4006891095703
2000,12,16.4885481853022
2001,1,11.4524531513298
2001,2,8.32249301193623
2001,3,10.2960165138991
2001,4,28.2310130219815
2001,5,69.0131541692515
2001,6,96.7507863157422
2001,7,57.0757437183539
2001,8,63.7905370969838
2001,9,99.6388694893465
2001,10,69.7592423224326
2001,11,35.6678271940124
2001,12,20.9277726967298
2002,1,14.0637616874637
2002,2,11.4897575589889
2002,3,12.6834986040786
2002,4,30.8663889178954
2002,5,55.5835674119917
2002,6,81.5883496543199
2002,7,52.2261707226768
2002,8,47.7496418035902
2002,9,26.1371527211184
2002,10,24.8447355009305
2002,11,16.7508824069046
2002,12,11.6762795972842
