"","Flow_sangping_mon"
"1965-01-01",20.09205145457
"1965-02-01",15.8759652350354
"1965-03-01",17.6633007186726
"1965-04-01",26.0242047963794
"1965-05-01",71.613450269887
"1965-06-01",99.8319704029459
"1965-07-01",118.136686373879
"1965-08-01",91.5048250227265
"1965-09-01",104.726981538615
"1965-10-01",67.5061420755896
"1965-11-01",34.8183454918409
"1965-12-01",24.041819060593
"1966-01-01",19.74133609734
"1966-02-01",15.4933666635119
"1966-03-01",17.098780277356
"1966-04-01",22.1231997533938
"1966-05-01",104.798249899978
"1966-06-01",121.887652761365
"1966-07-01",136.535176504499
"1966-08-01",64.4491044697883
"1966-09-01",60.1392440905666
"1966-10-01",68.357611445549
"1966-11-01",34.4676301346109
"1966-12-01",23.764247547919
"1967-01-01",18.2296966431831
"1967-02-01",14.4599754237594
"1967-03-01",16.4929992057769
"1967-04-01",24.5932111195534
"1967-05-01",80.3250697048238
"1967-06-01",101.594924605064
"1967-07-01",129.127017889213
"1967-08-01",107.990322295728
"1967-09-01",143.043103186787
"1967-10-01",71.7691153749677
"1967-11-01",35.8986238114369
"1967-12-01",25.1689844600326
"1968-01-01",19.5894219586468
"1968-02-01",15.8347046047731
"1968-03-01",15.8909691005854
"1968-04-01",19.1993214543482
"1968-05-01",69.4116330004326
"1968-06-01",118.472397865559
"1968-07-01",118.849369987501
"1968-08-01",83.7590794325674
"1968-09-01",92.8926825860964
"1968-10-01",77.5587319940527
"1968-11-01",37.2508471941257
"1968-12-01",25.7728900484179
"1969-01-01",20.2514675260381
"1969-02-01",15.8178252560294
"1969-03-01",17.3857292059987
"1969-04-01",33.1491654494095
"1969-05-01",107.934057799916
"1969-06-01",104.877020194115
"1969-07-01",114.592023137704
"1969-08-01",63.6614015284162
"1969-09-01",50.8274700336321
"1969-10-01",60.6662548680085
"1969-11-01",31.2736822556664
"1969-12-01",22.2394797114058
"1970-01-01",17.0462667479311
"1970-02-01",13.9179607807676
"1970-03-01",14.8650797936079
"1970-04-01",24.9720587246895
"1970-05-01",64.5803882933503
"1970-06-01",161.854199620031
"1970-07-01",109.246896035536
"1970-08-01",73.248871614831
"1970-09-01",103.69734126525
"1970-10-01",108.290399606727
"1970-11-01",47.0858810621146
"1970-12-01",29.7901750494156
"1971-01-01",22.1813397323998
"1971-02-01",16.8099558655195
"1971-03-01",18.2165682608269
"1971-04-01",26.1592395863289
"1971-05-01",71.2608594294633
"1971-06-01",135.747473563127
"1971-07-01",128.601882594965
"1971-08-01",66.4539960038997
"1971-09-01",68.488895269111
"1971-10-01",59.7003810232308
"1971-11-01",31.9901168356763
"1971-12-01",21.8156205096199
"1972-01-01",17.6501723363164
"1972-02-01",15.243927398744
"1972-03-01",16.3204547519526
"1972-04-01",22.9877975057093
"1972-05-01",76.0620964054457
"1972-06-01",138.748246673115
"1972-07-01",105.289626496738
"1972-08-01",62.7986792592944
"1972-09-01",84.5449068907458
"1972-10-01",73.9953139259408
"1972-11-01",36.5456655132783
"1972-12-01",25.6172249433372
"1973-01-01",19.413126538435
"1973-02-01",15.4914911803181
"1973-03-01",17.5620246262105
"1973-04-01",27.4927081370803
"1973-05-01",98.8698475245557
"1973-06-01",119.412014945624
"1973-07-01",125.150993518478
"1973-08-01",104.445659059554
"1973-09-01",126.895192888659
"1973-10-01",80.6645321628913
"1973-11-01",42.811654863574
"1973-12-01",27.8152912464041
"1974-01-01",20.9510227573043
"1974-02-01",16.5623920839454
"1974-03-01",19.1543098576984
"1974-04-01",36.2718449669918
"1974-05-01",91.6173540143511
"1974-06-01",141.336413480481
"1974-07-01",118.774350659751
"1974-08-01",83.8340987603171
"1974-09-01",83.2526989702568
"1974-10-01",96.6061393097077
"1974-11-01",41.4988166279539
"1974-12-01",26.7668961411017
"1975-01-01",19.9082541015831
"1975-02-01",15.7465568946672
"1975-03-01",18.0609031557462
"1975-04-01",32.1514083903382
"1975-05-01",84.2767127940405
"1975-06-01",129.277056544713
"1975-07-01",141.392677976293
"1975-08-01",86.2384682146958
"1975-09-01",102.345117882562
"1975-10-01",79.8580743895817
"1975-11-01",42.672869107237
"1975-12-01",27.9990885993909
"1976-01-01",20.5271635555184
"1976-02-01",16.5848978822703
"1976-03-01",17.8677283867906
"1976-04-01",34.3682295253425
"1976-05-01",107.277638682106
"1976-06-01",168.06204899132
"1976-07-01",168.530919789756
"1976-08-01",108.627986581601
"1976-09-01",65.2855699741978
"1976-10-01",63.7664285872658
"1976-11-01",38.2317249044534
"1976-12-01",28.2954149440023
"1977-01-01",22.1325771693625
"1977-02-01",18.0909108868461
"1977-03-01",20.435264879025
"1977-04-01",36.3468642947415
"1977-05-01",91.8930500438313
"1977-06-01",152.326744995816
"1977-07-01",118.774350659751
"1977-08-01",81.0152475201212
"1977-09-01",66.2889534828503
"1977-10-01",57.8211468631002
"1977-11-01",36.1743198409172
"1977-12-01",26.8662967503701
"1978-01-01",21.3411232616029
"1978-02-01",17.1606712227495
"1978-03-01",18.7904661181122
"1978-04-01",28.8149237886692
"1978-05-01",81.484118318557
"1978-06-01",102.307608218687
"1978-07-01",101.126053806629
"1978-08-01",80.6157695998539
"1978-09-01",134.359615999757
"1978-10-01",81.7729427303935
"1978-11-01",38.0085424043979
"1978-12-01",26.961946393251
"1979-01-01",21.0185401522791
"1979-02-01",16.7255591218011
"1979-03-01",18.2053153616644
"1979-04-01",23.3741470436204
"1979-05-01",62.4517148684519
"1979-06-01",93.3690553173071
"1979-07-01",136.010041210251
"1979-08-01",90.0231932996694
"1979-09-01",112.885333431398
"1979-10-01",81.5910208606004
"1979-11-01",38.927529169332
"1979-12-01",26.8325380528827
"1980-01-01",20.9060111606545
"1980-02-01",17.2675737647928
"1980-03-01",18.1115412019772
"1980-04-01",24.5575769388723
"1980-05-01",64.3159451630326
"1980-06-01",134.078293520695
"1980-07-01",114.40447481833
"1980-08-01",136.409519130518
"1980-09-01",141.692755287292
"1980-10-01",72.5830750810522
"1980-11-01",38.468035786865
"1980-12-01",27.0913547336193
"1981-01-01",20.9847814547917
"1981-02-01",16.8005784495508
"1981-03-01",18.0534012229712
"1981-04-01",22.0237991441254
"1981-05-01",51.478262701861
"1981-06-01",128.05799246878
"1981-07-01",171.981808866243
"1981-08-01",83.0839054828199
"1981-09-01",120.931156332556
"1981-10-01",74.0140687578782
"1981-11-01",42.4553130567628
"1981-12-01",29.9964782007273
"1982-01-01",23.4754231360825
"1982-02-01",18.71919775675
"1982-03-01",20.0789230722138
"1982-04-01",28.2316485154151
"1982-05-01",70.7619808999276
"1982-06-01",155.252498778055
"1982-07-01",179.389967481529
"1982-08-01",100.113292882007
"1982-09-01",71.6434580009869
"1982-10-01",46.1875246123116
"1982-11-01",29.9514666040775
"1982-12-01",22.8902723796347
"1983-01-01",19.0605356980113
"1983-02-01",15.6434053190113
"1983-03-01",16.9637454874065
"1983-04-01",23.2278593545084
"1983-05-01",76.1896292626202
"1983-06-01",122.750375030487
"1983-07-01",102.832743512935
"1983-08-01",91.9380616404811
"1983-09-01",111.253663052841
"1983-10-01",70.4562771393475
"1983-11-01",38.8093737281262
"1983-12-01",26.2792705107285
"1984-01-01",20.7128363916989
"1984-02-01",16.3185792687588
"1984-03-01",18.8054699836622
"1984-04-01",34.4676301346109
"1984-05-01",94.421201388997
"1984-06-01",122.375278391738
"1984-07-01",127.870444149405
"1984-08-01",90.3232706106683
"1984-09-01",81.6210285917003
"1984-10-01",59.8579216115052
"1984-11-01",33.2016789788343
"1984-12-01",24.7319968758904
"1985-01-01",19.8107289755085
"1985-02-01",15.6940433652424
"1985-03-01",16.8287106974569
"1985-04-01",24.1787293337362
"1985-05-01",65.6081530835216
"1985-06-01",120.406021038308
"1985-07-01",103.770485109806
"1985-08-01",54.5840628706995
"1985-09-01",105.045813681552
"1985-10-01",55.5743179969959
"1985-11-01",30.831068221943
"1985-12-01",22.7308563081665
"1986-01-01",17.6576742690914
"1986-02-01",14.2030342262166
"1986-03-01",15.9003465165541
"1986-04-01",20.5534203202308
"1986-05-01",52.5960506853319
"1986-06-01",137.729859298913
"1986-07-01",132.596661797638
"1986-08-01",97.0187456123312
"1986-09-01",105.383400656425
"1986-10-01",59.8429177459552
"1986-11-01",31.313067402735
"1986-12-01",22.3707635349678
"1987-01-01",18.8242248155996
"1987-02-01",14.8763326927704
"1987-03-01",16.6692946259888
"1987-04-01",23.2728709511583
"1987-05-01",68.9483886515781
"1987-06-01",138.598208017616
"1987-07-01",130.383591629021
"1987-08-01",101.669943932814
"1987-09-01",123.519323139921
"1987-10-01",85.6345626263105
"1987-11-01",39.0569375097003
"1987-12-01",26.7593942083267
"1988-01-01",20.6565718958866
"1988-02-01",16.5042521049394
"1988-03-01",17.2750756975678
"1988-04-01",32.5208785795056
"1988-05-01",102.53454168513
"1988-06-01",168.249597310695
"1988-07-01",129.239546880838
"1988-08-01",83.7965890964423
"1988-09-01",103.620446454307
"1988-10-01",83.5546517644494
"1988-11-01",39.4545399467739
"1988-12-01",27.7909099648854
"1989-01-01",21.7030915179953
"1989-02-01",17.1681731555245
"1989-03-01",18.7642093533998
"1989-04-01",30.1934039360704
"1989-05-01",63.8208175998844
"1989-06-01",121.11870465193
"1989-07-01",105.589703807737
"1989-08-01",96.5873844777703
"1989-09-01",111.441211372216
"1989-10-01",59.4997043215002
"1989-11-01",38.263608118747
"1989-12-01",25.8929209728174
"1990-01-01",19.9401373158768
"1990-02-01",15.6846659492737
"1990-03-01",17.1700486387182
"1990-04-01",22.5470589551797
"1990-05-01",68.291969533768
"1990-06-01",109.246896035536
"1990-07-01",97.6751647301413
"1990-08-01",94.7306561159646
"1990-09-01",75.0680903127618
"1990-10-01",78.5077264900867
"1990-11-01",39.694601795573
"1990-12-01",25.515948850875
"1991-01-01",19.3831188073351
"1991-02-01",15.1088926087945
"1991-03-01",16.8680958445256
"1991-04-01",32.4608631173058
"1991-05-01",89.7043611567331
"1991-06-01",197.33834164565
"1991-07-01",193.737413913664
"1991-08-01",99.5881575877593
"1991-09-01",81.0396288016399
"1991-10-01",69.5222865088634
"1991-11-01",34.9158706179155
"1991-12-01",21.9919159298317
"1992-01-01",17.4119859707111
"1992-02-01",15.0507526297885
"1992-03-01",16.1891709283905
"1992-04-01",27.0257128218383
"1992-05-01",87.5663103158659
"1992-06-01",105.439665152238
"1992-07-01",142.799290371601
"1992-08-01",145.57500549834
"1992-09-01",99.7569510751962
"1992-10-01",80.6457773309538
"1992-11-01",49.1939241718818
"1992-12-01",28.801795406313
"1993-01-01",22.194468114756
"1993-02-01",16.8755977773005
"1993-03-01",17.6276665379915
"1993-04-01",35.5497839374007
"1993-05-01",78.5152284228617
"1993-06-01",150.732584281134
"1993-07-01",90.3795351064806
"1993-08-01",52.7592177231875
"1993-09-01",82.8701003987332
"1993-10-01",80.3644548518924
"1993-11-01",35.4316284961949
"1993-12-01",24.8539032834837
"1994-01-01",18.931127357643
"1994-02-01",14.6625276086837
"1994-03-01",17.9933857607714
"1994-04-01",34.1075373614122
"1994-05-01",138.992059488302
"1994-06-01",147.169166213022
"1994-07-01",116.917622297946
"1994-08-01",85.3532401472491
"1994-09-01",72.2436126229847
"1994-10-01",58.6013478716973
"1994-11-01",34.6870616682789
"1994-12-01",22.5845686190546
"1995-01-01",18.1546773154333
"1995-02-01",15.2833125458126
"1995-03-01",16.33920958389
"1995-04-01",22.9146536611533
"1995-05-01",71.285240710982
"1995-06-01",110.822301918281
"1995-07-01",114.385719986392
"1995-08-01",82.2568173943792
"1995-09-01",70.868883441971
"1995-10-01",72.8006311315264
"1995-11-01",36.4781481183035
"1995-12-01",22.6802182619355
"1996-01-01",17.9202419162154
"1996-02-01",14.3624502976848
"1996-03-01",15.6058956551364
"1996-04-01",26.3205311409908
"1996-05-01",81.637907940444
"1996-06-01",128.601882594965
"1996-07-01",106.621219564296
"1996-08-01",71.4108980849628
"1996-09-01",51.7727135632786
"1996-10-01",51.0900376807561
"1996-11-01",27.1176114983317
"1996-12-01",20.705334458924
"1997-01-01",15.4371021676996
"1997-02-01",13.3703196881946
"1997-03-01",16.6149056133702
"1997-04-01",30.1277620242894
"1997-05-01",76.8010367837805
"1997-06-01",96.5686296458329
"1997-07-01",129.877211166711
