Station,Name,Date,Year,Month,Q
4,Sangping,19750701,1975,7,141.392678
4,Sangping,19750801,1975,8,86.23846821
4,Sangping,19750901,1975,9,102.3451179
4,Sangping,19751001,1975,10,79.85807439
4,Sangping,19751101,1975,11,42.67286911
4,Sangping,19751201,1975,12,27.9990886
4,Sangping,19760101,1976,1,20.52716356
4,Sangping,19760201,1976,2,16.58489788
4,Sangping,19760301,1976,3,17.86772839
4,Sangping,19760401,1976,4,34.36822953
4,Sangping,19760501,1976,5,107.2776387
4,Sangping,19760601,1976,6,168.062049
4,Sangping,19760701,1976,7,168.5309198
4,Sangping,19760801,1976,8,108.6279866
4,Sangping,19760901,1976,9,65.28556997
4,Sangping,19761001,1976,10,63.76642859
4,Sangping,19761101,1976,11,38.2317249
4,Sangping,19761201,1976,12,28.29541494
4,Sangping,19770101,1977,1,22.13257717
4,Sangping,19770201,1977,2,18.09091089
4,Sangping,19770301,1977,3,20.43526488
4,Sangping,19770401,1977,4,36.34686429
4,Sangping,19770501,1977,5,91.89305004
4,Sangping,19770601,1977,6,152.326745
4,Sangping,19770701,1977,7,118.7743507
4,Sangping,19770801,1977,8,81.01524752
4,Sangping,19770901,1977,9,66.28895348
4,Sangping,19771001,1977,10,57.82114686
4,Sangping,19771101,1977,11,36.17431984
4,Sangping,19771201,1977,12,26.86629675
4,Sangping,19780101,1978,1,21.34112326
4,Sangping,19780201,1978,2,17.16067122
4,Sangping,19780301,1978,3,18.79046612
4,Sangping,19780401,1978,4,28.81492379
4,Sangping,19780501,1978,5,81.48411832
4,Sangping,19780601,1978,6,102.3076082
4,Sangping,19780701,1978,7,101.1260538
4,Sangping,19780801,1978,8,80.6157696
4,Sangping,19780901,1978,9,134.359616
4,Sangping,19781001,1978,10,81.77294273
4,Sangping,19781101,1978,11,38.0085424
4,Sangping,19781201,1978,12,26.96194639
4,Sangping,19790101,1979,1,21.01854015
4,Sangping,19790201,1979,2,16.72555912
4,Sangping,19790301,1979,3,18.20531536
4,Sangping,19790401,1979,4,23.37414704
4,Sangping,19790501,1979,5,62.45171487
4,Sangping,19790601,1979,6,93.36905532
4,Sangping,19790701,1979,7,136.0100412
4,Sangping,19790801,1979,8,90.0231933
4,Sangping,19790901,1979,9,112.8853334
4,Sangping,19791001,1979,10,81.59102086
4,Sangping,19791101,1979,11,38.92752917
4,Sangping,19791201,1979,12,26.83253805
4,Sangping,19800101,1980,1,20.90601116
4,Sangping,19800201,1980,2,17.26757376
4,Sangping,19800301,1980,3,18.1115412
4,Sangping,19800401,1980,4,24.55757694
4,Sangping,19800501,1980,5,64.31594516
4,Sangping,19800601,1980,6,134.0782935
4,Sangping,19800701,1980,7,114.4044748
4,Sangping,19800801,1980,8,136.4095191
4,Sangping,19800901,1980,9,141.6927553
4,Sangping,19801001,1980,10,72.58307508
4,Sangping,19801101,1980,11,38.46803579
4,Sangping,19801201,1980,12,27.09135473
4,Sangping,19810101,1981,1,20.98478145
4,Sangping,19810201,1981,2,16.80057845
4,Sangping,19810301,1981,3,18.05340122
4,Sangping,19810401,1981,4,22.02379914
4,Sangping,19810501,1981,5,51.4782627
4,Sangping,19810601,1981,6,128.0579925
4,Sangping,19810701,1981,7,171.9818089
4,Sangping,19810801,1981,8,83.08390548
4,Sangping,19810901,1981,9,120.9311563
4,Sangping,19811001,1981,10,74.01406876
4,Sangping,19811101,1981,11,42.45531306
