"Flow_shaba_mon","Year","Month"
12.6834986040786,"1980","01"
11.1707447051045,"1980","02"
12.6238115518242,"1980","03"
19.711167659849,"1980","04"
44.6160715602296,"1980","05"
75.7760822674414,"1980","06"
124.634025988902,"1980","07"
78.6376913452876,"1980","08"
96.2453717603615,"1980","09"
61.8507078987129,"1980","10"
30.0144043816821,"1980","11"
19.0401696691816,"1980","12"
14.1532922658454,"1981","01"
11.9041974944011,"1981","02"
13.9182744975934,"1981","03"
27.2996061984941,"1981","04"
58.5306156170571,"1981","05"
114.295891595388,"1981","06"
99.3789420037221,"1981","07"
97.7748524743828,"1981","08"
145.414987790974,"1981","09"
72.5943773045207,"1981","10"
33.7580821954666,"1981","11"
21.6626695276131,"1981","12"
16.5930005267476,"1982","01"
12.7937271118712,"1982","02"
14.9366848266856,"1982","03"
21.7183854655039,"1982","04"
60.1720095540555,"1982","05"
115.162316547469,"1982","06"
137.914395115526,"1982","07"
70.2441996220003,"1982","08"
98.8807476562754,"1982","09"
65.8422795182318,"1982","10"
31.1985184828599,"1982","11"
20.7673637437958,"1982","12"
15.7014251836962,"1983","01"
12.3557011638746,"1983","02"
15.5186335861668,"1983","03"
26.2057446964915,"1983","04"
62.3729696059397,"1983","05"
124.512485822013,"1983","06"
169.697750441041,"1983","07"
96.6184158369521,"1983","08"
85.5955650576959,"1983","09"
58.3440935787618,"1983","10"
29.1660299494359,"1983","11"
19.3460658119858,"1983","12"
14.9068413005583,"1984","01"
13.1913198954374,"1984","02"
14.3099707780134,"1984","03"
26.4584519741819,"1984","04"
67.5209778628893,"1984","05"
98.1948279025444,"1984","06"
95.1262395305899,"1984","07"
71.1395054058176,"1984","08"
93.0684802693968,"1984","09"
62.4102740135988,"1984","10"
30.5559199767329,"1984","11"
18.6522038295274,"1984","12"
14.9217630636219,"1985","01"
10.7451134473946,"1985","02"
13.5899957101937,"1985","03"
26.8519533065855,"1985","04"
69.1250673922286,"1985","05"
90.1081950164525,"1985","06"
107.585911688714,"1985","07"
75.9517739938357,"1985","08"
70.036016959903,"1985","09"
53.1214765064941,"1985","10"
26.9385958017936,"1985","11"
17.208523253122,"1985","12"
12.4447503950607,"1986","01"
9.35353870491295,"1986","02"
12.4223677504653,"1986","03"
24.7617031096894,"1986","04"
62.1864475676444,"1986","05"
120.433068339297,"1986","06"
79.7195191674002,"1986","07"
41.2586748709147,"1986","08"
68.4475712144206,"1986","09"
38.6846707424399,"1986","10"
22.6497922889913,"1986","11"
14.8620760113675,"1986","12"
11.2211658238437,"1987","01"
9.35353870491295,"1987","02"
11.247278909205,"1987","03"
19.0974499854581,"1987","04"
57.4114833872854,"1987","05"
104.043196329093,"1987","06"
111.875918569505,"1987","07"
71.1022009981585,"1987","08"
67.5450452226693,"1987","09"
43.5715481457761,"1987","10"
23.3862534982604,"1987","11"
15.3358419886374,"1987","12"
12.5715853811015,"1988","01"
10.4693015043154,"1988","02"
14.3995013563952,"1988","03"
23.1768674681741,"1988","04"
62.2983607906216,"1988","05"
102.526952662951,"1988","06"
111.913222977165,"1988","07"
74.9818593947002,"1988","08"
96.0287655223412,"1988","09"
85.8001376158261,"1988","10"
36.4620500667536,"1988","11"
22.419949003092,"1988","12"
15.8543732550983,"1989","01"
12.3658094549822,"1989","02"
15.8916776627574,"1989","03"
27.0757797525398,"1989","04"
80.5775205435585,"1989","05"
155.234470581228,"1989","06"
111.167134823983,"1989","07"
79.0853442371963,"1989","08"
98.1948279025444,"1989","09"
70.1322863990231,"1989","10"
32.3465315443676,"1989","11"
21.2635123656613,"1989","12"
15.4813291785078,"1990","01"
12.4331980623663,"1990","02"
14.6606322100086,"1990","03"
27.7616995062708,"1990","04"
69.386198245842,"1990","05"
109.02513980356,"1990","06"
82.8157850031018,"1990","07"
84.6810053860545,"1990","08"
120.938482894678,"1990","09"
55.9566114885823,"1990","10"
31.5523086716264,"1990","11"
19.696727243981,"1990","12"
14.5114145793723,"1991","01"
11.8267005959094,"1991","02"
14.250283725759,"1991","03"
24.1876965789356,"1991","04"
66.4018456331176,"1991","05"
85.1984536213253,"1991","06"
64.1635811735743,"1991","07"
65.6557574799365,"1991","08"
61.3717674390902,"1991","09"
69.386198245842,"1991","10"
31.8050159493168,"1991","11"
20.3682065818439,"1991","12"
14.6233278023495,"1992","01"
11.7256176848332,"1992","02"
14.9217630636219,"1992","03"
31.6606117906365,"1992","04"
67.5209778628893,"1992","05"
148.736283440619,"1992","06"
145.114145793723,"1992","07"
68.6401100926609,"1992","08"
74.3681417203093,"1992","09"
55.9566114885823,"1992","10"
29.0974379740628,"1992","11"
18.5402906065503,"1992","12"
14.250283725759,"1993","01"
11.3886746479127,"1993","02"
12.6834986040786,"1993","03"
26.7508703955093,"1993","04"
86.1731816924167,"1993","05"
100.721900679448,"1993","06"
110.421046670802,"1993","07"
121.985413045109,"1993","08"
88.0865367949295,"1993","09"
64.1635811735743,"1993","10"
36.4620500667536,"1993","11"
22.6064710413872,"1993","12"
16.302026147007,"1994","01"
11.9614778106776,"1994","02"
12.907325050033,"1994","03"
32.4187336237077,"1994","04"
68.6401100926609,"1994","05"
124.548586861683,"1994","06"
77.9662120074246,"1994","07"
47.0035536504091,"1994","08"
81.2273392576194,"1994","09"
64.5366252501649,"1994","10"
33.0685523377686,"1994","11"
21.4873388116156,"1994","12"
15.8170688474393,"1995","01"
11.7930062922173,"1995","02"
15.4067203631897,"1995","03"
33.357360655129,"1995","04"
132.430647189645,"1995","05"
109.386150200261,"1995","06"
77.5931679308341,"1995","07"
