"Flow_shaba_mon","Year","Month"
21.6245227623618,"1997","11"
14.8098498406448,"1997","12"
12.0120192662157,"1998","01"
9.67026515961822,"1998","02"
13.6534132032141,"1998","03"
26.9674766335296,"1998","04"
66.0288015565271,"1998","05"
67.5089441829993,"1998","06"
96.9914599135426,"1998","07"
85.8001376158261,"1998","08"
58.8446946621865,"1998","09"
62.2983607906216,"1998","10"
35.2707157576419,"1998","11"
20.7039462507754,"1998","12"
14.7725454329857,"1999","01"
11.590840470065,"1999","02"
13.1684559036464,"1999","03"
29.6750546087836,"1999","04"
67.1479337862987,"1999","05"
127.436670035287,"1999","06"
160.408952933936,"1999","07"
70.5053304756137,"1999","08"
45.4873099842669,"1999","09"
86.9192698455978,"1999","10"
33.357360655129,"1999","11"
19.0998567214361,"1999","12"
11.7508884126023,"2000","01"
8.72441792026283,"2000","02"
9.81105921433142,"2000","03"
29.4584483707633,"2000","04"
64.1635811735743,"2000","05"
108.66412940686,"2000","06"
87.2923139221883,"2000","07"
60.8061844842594,"2000","08"
57.7616634720849,"2000","09"
48.1226858801808,"2000","10"
27.4006891095703,"2000","11"
16.4885481853022,"2000","12"
11.4524531513298,"2001","01"
8.32249301193623,"2001","02"
10.2960165138991,"2001","03"
28.2310130219815,"2001","04"
69.0131541692515,"2001","05"
96.7507863157422,"2001","06"
57.0757437183539,"2001","07"
63.7905370969838,"2001","08"
99.6388694893465,"2001","09"
69.7592423224326,"2001","10"
35.6678271940124,"2001","11"
20.9277726967298,"2001","12"
14.0637616874637,"2002","01"
11.4897575589889,"2002","02"
12.6834986040786,"2002","03"
30.8663889178954,"2002","04"
55.5835674119917,"2002","05"
81.5883496543199,"2002","06"
52.2261707226768,"2002","07"
47.7496418035902,"2002","08"
26.1371527211184,"2002","09"
24.8447355009305,"2002","10"
16.7508824069046,"2002","11"
11.6762795972842,"2002","12"
